name,latitude,longitude,population,state
Chennai,13.0827,80.2707,7088000,Tamil Nadu
Mumbai,19.0760,72.8777,20667656,Maharashtra
Delhi,28.7041,77.1025,32941000,Delhi
Bangalore,12.9716,77.5946,12476000,Karnataka
Hyderabad,17.3850,78.4867,10534418,Telangana
Kolkata,22.5726,88.3639,14850000,West Bengal
Pune,18.5204,73.8567,7276000,Maharashtra
Ahmedabad,23.0225,72.5714,8059441,Gujarat
Jaipur,26.9124,75.7873,3046163,Rajasthan
Surat,21.1702,72.8311,7784276,Gujarat
Lucknow,26.8467,80.9462,3681416,Uttar Pradesh
Kanpur,26.4499,80.3319,2920496,Uttar Pradesh
Nagpur,21.1458,79.0882,2497777,Maharashtra
Indore,22.7196,75.8577,2201927,Madhya Pradesh
Thane,19.2183,72.9781,1841488,Maharashtra
Bhopal,23.2599,77.4126,1798218,Madhya Pradesh
Visakhapatnam,17.6868,83.2185,2035922,Andhra Pradesh
Pimpri,18.6279,73.8009,1727692,Maharashtra
Patna,25.5941,85.1376,2046652,Bihar
Vadodara,22.3072,73.1812,2065771,Gujarat
Ghaziabad,28.6692,77.4538,2375820,Uttar Pradesh
Ludhiana,30.9010,75.8573,1618879,Punjab
Agra,27.1767,78.0081,1760285,Uttar Pradesh
Nashik,19.9975,73.7898,1486053,Maharashtra
Faridabad,28.4089,77.3178,1809733,Haryana
Meerut,28.9845,77.7064,1305429,Uttar Pradesh
Rajkot,22.3039,70.8022,1390640,Gujarat
Kalyan,19.2437,73.1355,1246381,Maharashtra
Vasai,19.4700,72.8081,701318,Maharashtra
Coimbatore,11.0168,76.9558,2151466,Tamil Nadu
